Проект,Категории,Цена,Заявки
Тз: дописать диплом (экономика),Дипломы/Курсовые/Рефераты,,нет заявок
Тз: дописать дип. (геология),Дипломы/Курсовые/Рефераты,,нет заявок
Тз: дописать диплом (сельское хоз-во),Дипломы/Курсовые/Рефераты,,нет заявок
Сайт визитка,Сайты «под ключ»,,11 заявок
Сайт визитка,Сайты «под ключ»,,11 заявок
Тз: дописать диплом (грузоперевозки),Дипломы/Курсовые/Рефераты,,нет заявок
Тз: дописать диплом (геология),Дипломы/Курсовые/Рефераты,,нет заявок
"Тз: дописать диплом (транспорт, грузоперевозки)",Дипломы/Курсовые/Рефераты,,нет заявок
Тз: дописать диплом (транспорт),Дипломы/Курсовые/Рефераты,,нет заявок
Тз: дописать диплом,Дипломы/Курсовые/Рефераты,,нет заявок
Настроить Директ,Контекстная реклама,,нет заявок
Презентация о компании,Презентации,$120,4 заявки
Адаптивная верстка + установка Wordpress,"HTML-верстка, Системы управления (CMS)",$125,11 заявок
Поправить мобильную верстку на сайте,HTML-верстка,$50,4 заявки
Хочу переехать на OpenCart,Системы управления (CMS),,2 заявки
Написание узкотематических статей на компьютерную тематику,Копирайтинг/Рерайтинг,,2 заявки
Постинг (разместить обзор игры на открытых площадках в интернете),Наполнение сайтов,,5 заявок
Ищем фрилансера,Интерьеры/Экстерьеры,,3 заявки
Лендинг,Дизайн сайтов,$25,14 заявок
Доработка скрипта плагина WordPress,Веб-программирование,$20,3 заявки
Настроить редирект в .htaccess,Контекстная реклама,,1 заявка
Тестер для сайтов,Тестирование сайтов,,9 заявок
Нужно добить почтовик,Системное администрирование,,3 заявки
Подготовка к печати,Иллюстрации/Рисунки,,2 заявки
Страничка редактор,Веб-программирование,,1 заявка
Аватар для группы в ВК,Пиксел-арт/Иконки,,2 заявки
Редизайн сайта на Word Press по примерму,Дизайн сайтов,,11 заявок
Составить и настроить рекламную кампанию в Яндекс.Директ,Контекстная реклама,$32,5 заявок
Сделать визуализацию,Иллюстрации/Рисунки,,4 заявки
Сайт на Wordpress,Сайты «под ключ»,,12 заявок
Дизайн рекламной акции на сайте,Дизайн сайтов,,5 заявок
"Описание экскурсий, детских и семейных развлечений",Копирайтинг/Рерайтинг,$35,10 заявок
Услуги программиста для ИМ,Веб-программирование,,нет заявок
Нарисовать 2 дизайна баннеров html5,Баннеры,,4 заявки
Прототип (макет) 3-х страничного лендинга,Дизайн сайтов,,5 заявок
Разместить посты в группе в контакте,Наполнение сайтов,,4 заявки
Дизайн упаковки,Дизайн продукции,,5 заявок
Redmine/ruby фикс нескольких ошибок,Веб-программирование,,1 заявка
"Разработать\доработать несколько скриптов, функционалов на сайте на WP",Веб-программирование,,2 заявки
Flatio Wordpress - внести поправки в тему,Системы управления (CMS),,исполнитель выбран
Проверить английский перевод сайта,Переводы,,5 заявок
"Автоматическое присваивание роли, ограничение срока действия роли.",Веб-программирование,$20,5 заявок
Необходимо скомпонировать изображение для панно,Иллюстрации/Рисунки,$50,1 заявка
Сверить перевод с иврита на английский язык,Переводы,,1 заявка
Запустить исходный код программы с сайта,Веб-программирование,,нет заявок
Перевод с русского на китайский,Переводы,,2 заявки
"Требуется сделать 3 редизайна, сделать 6 лого, конкурсы и т.д.","Знаки/Логотипы, Дизайн сайтов",,20 заявок
Symfony 1.4.11,Веб-программирование,,4 заявки
"Сделать лендинг, сделать сайт визитку и привязать платежную систему","Веб-программирование, HTML-верстка",,10 заявок
Отрисовка нового дизайна сайта,Дизайн сайтов,,исполнитель выбран
Сайт по примеру,Сайты «под ключ»,,12 заявок
Сервер мобильного приложения,Веб-программирование,,7 заявок
Доработать СДО,Веб-программирование,,нет заявок
Правки в андроид приложение Anki,ПО для мобильных устройств,,1 заявка
Создание сайта,Сайты «под ключ»,,20 заявок
Нарисовать обложку. Срочно,Дизайн продукции,,3 заявки
Разработать макет главной страницы сайта,Дизайн сайтов,$25,1 заявка
Сайт визитка под ключ,Сайты «под ключ»,,20 заявок
Игра шахматы для android на unity3D,ПО для мобильных устройств,,нет заявок
Рерайт/копирайт для блога,Копирайтинг/Рерайтинг,,9 заявок
Рерайты публикаций для сайта медицинского центра,Копирайтинг/Рерайтинг,,4 заявки
Создать аватарку для пабликов в VK и Fb,Пиксел-арт/Иконки,,2 заявки
Веб Скрипт калькулятор количества слов в файле док и докх,Веб-программирование,,4 заявки
Сверстать адаптивно лендос,HTML-верстка,,15 заявок
Не работает форма заявки,Веб-программирование,,4 заявки
Наполнение интернет-магазина,Наполнение сайтов,,17 заявок
Кадидатская диссертация.,Дипломы/Курсовые/Рефераты,,2 заявки
Верстальщик/JS профи для ряда небольших задач,HTML-верстка,,4 заявки
Короткий видеоролик для преролла,Видеомонтаж,,7 заявок
Перевод медицинской статьи,Новости/Статьи/Обзоры,,нет заявок
Сбор и систематизация контента по автотематике.,Наполнение сайтов,$1000,16 заявок
Подключить Яндекс Кассу+доработки на сайте. (Движок-Друпал 6),Веб-программирование,,1 заявка
Напечатать 30 страниц текста и немного формул,Редактирование/Корректировка,,исполнитель выбран
Создание иллюстраций к учебному пособию,Иллюстрации/Рисунки,$200,нет заявок
Консультация Adobe Ilustrator. Создание SVG спрайтов,Дизайн сайтов,,нет заявок
«Перевод на польский язык»,Переводы,,4 заявки
Сделать мобильную версию,Веб-программирование,$100,3 заявки
Php + MS SQL 2008,Веб-программирование,,нет заявок
Разработка сайта,Сайты «под ключ»,,15 заявок
Разработка дизайна упаковки,Дизайн продукции,,8 заявок
Очистка сайта от вирусов - сайт на вордпрессе,Веб-программирование,,12 заявок
Разработка площадки для объявлений,Веб-программирование,,4 заявки
Аналог сайта,Сайты «под ключ»,,8 заявок
Ищу исполнителя на изготовление сайта,Сайты «под ключ»,,15 заявок
"Заполнить 24 страницы по тематике скважины, водоподготовка",Копирайтинг/Рерайтинг,,14 заявок
Требуется дизайнер,"Дизайн продукции, Наружная реклама",,17 заявок
Поправить личный кабинет на Kohana,Веб-программирование,,1 заявка
Дизайн визиток,Дизайн продукции,,16 заявок
Обзоры и инструкции по работе с SEO-софтам и онлайн сервисами (SEO),Поисковые системы (SEO),,1 заявка
"Расшифровать 20 минут, качество хорошее",Редактирование/Корректировка,$3,исполнитель выбран
Оптимизация кода Wordpress,Веб-программирование,,4 заявки
Рерайт 33 000 знаков. Тема: постельное белье,Копирайтинг/Рерайтинг,,23 заявки
Создать и оформить группы в соц сетях,Дизайн сайтов,,4 заявки
Разработка сайта по тематике Франшизы,Веб-программирование,$170,3 заявки
Доработка дизайна,Дизайн сайтов,,10 заявок
Мобильное приложение-каталог с технологией дополненной реальности.,ПО для мобильных устройств,,2 заявки
"Прием платежей Bitcoin с использованием API blockchain.info, PHP",Веб-программирование,,3 заявки
Курсовая по бух учету.,Дипломы/Курсовые/Рефераты,,1 заявка
"Создать страницу , залить контент . Битрикс и Вордпресс",Наполнение сайтов,,4 заявки
Анимация на JS,Веб-программирование,,4 заявки
Нужны услуги по добавлению пресс-релизов на сайт,"Наполнение сайтов, Копирайтинг/Рерайтинг",,16 заявок
Решение нетрадиционных задач на joomla,Веб-программирование,,3 заявки
Скрипт PHP,Веб-программирование,$8,5 заявок
Создание логотипа для сети магазинов сладостей,Знаки/Логотипы,,13 заявок
Cоздать сайт и продвигать его,Сайты «под ключ»,,13 заявок
Рерайт текстов-описаний медицинских товаров,Копирайтинг/Рерайтинг,,24 заявки
Создать отчет Себестоимости,1С-программирование,,3 заявки
Комплекс статей по обзору базовых индикаторов МТ4,Копирайтинг/Рерайтинг,,2 заявки
Cлишком большя нагрузка на ОЗУ и процессор от mysql,Системное администрирование,,9 заявок
Нужно разработать API,Веб-программирование,,нет заявок
Php раскордировать неправильно сохраненный json,Веб-программирование,,4 заявки
Правки на портале 1С Битрикс,Веб-программирование,$450,2 заявки
Мобильное приложение под IOS на CORDOVA (прикрутить плагин),ПО для мобильных устройств,,нет заявок
Метод торговли на новостях,Копирайтинг/Рерайтинг,,3 заявки
Оператор для мониторинга,Наполнение сайтов,,11 заявок
Разработать рекламные изображения для галереи,Иллюстрации/Рисунки,,4 заявки
Дизайн однокомнатной квартиры,Интерьеры/Экстерьеры,,17 заявок
Модуль двухфактороной авторизации и сертификатам для FluxBB,Веб-программирование,,нет заявок
Wordpress - перенести сайт - на другую тему,Системы управления (CMS),,7 заявок
Дизайн сайта,Дизайн сайтов,,37 заявок
Мод поиск,Веб-программирование,,нет заявок
Изображения для игры,Иллюстрации/Рисунки,$150,1 заявка
Студенческая работа PascalABC.NET (или C++),Дипломы/Курсовые/Рефераты,,1 заявка
Статья про волнистых попугаев,Копирайтинг/Рерайтинг,$4,2 заявки
Копирайт - 500 статей про диеты и схожие женские темы,Копирайтинг/Рерайтинг,,57 заявок
Joomla. Исправить работу корзины,Веб-программирование,,исполнитель выбран
Написание статьи,Копирайтинг/Рерайтинг,$5,13 заявок
Исправить ошибки сайта на DLE,Веб-программирование,,1 заявка
Angular+jquery исправить ошибку.,Веб-программирование,,нет заявок
Требуется изменить цвет лого и сделать картинки для вставки в шаблон,Дизайн сайтов,,4 заявки
Прописать title opencart,Наполнение сайтов,,исполнитель выбран
Копирайтер для написания продающих статей (200 статей),Копирайтинг/Рерайтинг,,7 заявок
Эротические рассказы,Копирайтинг/Рерайтинг,,40 заявок
SEO ссылки,Поисковые системы (SEO),,4 заявки
Написать и разместить сайт,Сайты «под ключ»,$75,17 заявок
Распарсить сайт стихотворений,Веб-программирование,$5,9 заявок
Исправить проблему с wifi подключением,Системное администрирование,,исполнитель выбран
Доработка сайта по часовой тематике,Наполнение сайтов,$60,7 заявок
Улетка для недвижимости,Дизайн продукции,$10,5 заявок
Подробно разъяснить как работает скрипт,Веб-программирование,,исполнитель выбран
Микро-проект для редактора,"Социальные сети (SMM/SMO), Копирайтинг/Рерайтинг",,нет заявок
Логотип текстовый,Знаки/Логотипы,,21 заявка
Добавить красивых слов к тексту (копирайт),Копирайтинг/Рерайтинг,$7,исполнитель выбран
Верстка лендинга и его натяжка на Wordpress,HTML-верстка,$80,14 заявок
Настроить модуль DPCalendar для lingvalia.com. Сайт на Joomla.,Системы управления (CMS),,1 заявка
Сверстать лендинг на ВП,HTML-верстка,,16 заявок
Исправить проблемы на сайте битрикс,Системы управления (CMS),$16,3 заявки
Приложение на iOS,ПО для мобильных устройств,,3 заявки
"Мелкие работы по сайт DLE, перенос контента, настройка .htaccess",Системы управления (CMS),$20,1 заявка
Модуль для сайта на ДЛЕ,Веб-программирование,,2 заявки
Описание спортивных тренажеров для интернет-магазина,Копирайтинг/Рерайтинг,,исполнитель выбран
Сверстать и натянуть на Opencart,HTML-верстка,$50,8 заявок
Очень простая верстка,HTML-верстка,,26 заявок
Нужно сверстать и натянуть на wordpress,"HTML-верстка, Системы управления (CMS)",,11 заявок
Скрипт слайд-шоу на карточке товара,Веб-программирование,,исполнитель выбран
Программист CMS Joomla! 3 знающий компонент HikaShop,Системы управления (CMS),$150,4 заявки
WordPress - Авада - добавить звездочки в сниппет Гугл,Системы управления (CMS),,1 заявка
Составить политику конфиденциальности на сайте,Юридические услуги,,6 заявок
Дизайн сайта,Дизайн сайтов,,23 заявки
Модель в 3DS MAX,3D-графика,,10 заявок
Верстка интерактивной шапки,HTML-верстка,,7 заявок
Создание конструктора товара для интернет-магазина,Веб-программирование,,исполнитель выбран
Настроить отправку целей в GA и Метрику,Системы управления (CMS),$5,нет заявок
3D визуализация гостинной,"Интерьеры/Экстерьеры, 3D-графика",,30 заявок
Написание технических статей,Копирайтинг/Рерайтинг,,8 заявок
"Разработать иконки на сайт, поставить читаемые шрифты (На Tilda)","Пиксел-арт/Иконки, Знаки/Логотипы",,4 заявки
Порезать и натянуть на CMS,"Системы управления (CMS), HTML-верстка",,12 заявок
Разработка обработчика на ТСД под Windows CE для проверки баркода,Прикладное ПО,,нет заявок
Wordpress - настроить купленную тему как на другом сайте,Веб-программирование,,4 заявки
Яндекс директ,Контекстная реклама,,6 заявок
Настроить телеграм бота на автопостинг с RSS,Веб-программирование,,1 заявка
Сделать дизайн страницы сайта как в примере,Дизайн сайтов,,12 заявок
Таргетинг,"Контекстная реклама, Социальные сети (SMM/SMO)",,1 заявка
Разработка сложного магазина на opencart 2.2,Интернет-магазины,,6 заявок
Разработка  бизнес процессов для CRM Bitrix 24,Системы управления (CMS),,нет заявок
Верстка HTML из Power Point с легкой анимацией,HTML-верстка,,8 заявок
Доработка WordPress,Веб-программирование,,2 заявки
Нужен дизайнер для создания кроя коробок,Дизайн продукции,,2 заявки
"Рисунки, иллюстрации к детскому настенному календарю.",Иллюстрации/Рисунки,,1 заявка
NS сервера на ISP manager,Системное администрирование,,11 заявок
Форматировать таблицу Exel перепечатать визитки,Редактирование/Корректировка,,23 заявки
Размещение объявлений на досках Украины.,Наполнение сайтов,,3 заявки
Обновить дизайн главной страницы,Дизайн сайтов,,12 заявок
Разыскивается автор статей/обзоров по программным продуктам 1С,Новости/Статьи/Обзоры,,1 заявка
Разыскивается автор статей/обзоров по программным продуктам 1С,Новости/Статьи/Обзоры,,1 заявка
Адаптивный дизайн сайта о кино,Дизайн сайтов,,исполнитель выбран
Запись аудиоролика,Озвучивание,,13 заявок
Расчет фундамента жилого дома диплом,Дипломы/Курсовые/Рефераты,,1 заявка
Приложение на C#,Прикладное ПО,,3 заявки
Рерайт статей для медпортала,Копирайтинг/Рерайтинг,$830,6 заявок
Настройка и доработка Jira,Системы управления (CMS),,нет заявок
Библиотека с мастерсервером для Counter Strike 1.6,Прикладное ПО,,1 заявка
Вёрстка анимированного меню (bootstrap3),HTML-верстка,,4 заявки
Решить проблему по блокировке сайта антивирусами,Веб-программирование,,3 заявки
Лейндинг,Дизайн сайтов,,44 заявки
На сайт нужно добавить 100 публикаций,Наполнение сайтов,$35,8 заявок
Верстка страницы чата и привязка к готовому движку (Vii Engine),"Веб-программирование, HTML-верстка",,нет заявок
Требуется валидная верстка и натяжка на modx revo,"HTML-верстка, Системы управления (CMS)",,исполнитель выбран
Wp оптимизация сайта,Веб-программирование,,исполнитель выбран
Небольшие доработки интернет-магазина,Веб-программирование,,2 заявки
Интернет-магазин с Интеграцией 1С,Сайты «под ключ»,,9 заявок
Поиск и размещение 10 ссылок на сайтах (Линк-билдинг),Поисковые системы (SEO),,нет заявок
Поправка верстки сайта.,HTML-верстка,,18 заявок
5 чертежей перечертить по электроснабжению по образцам,Чертежи/Схемы,,10 заявок
Сделать ТЗ и создать по нему сайт для школы трейдера,Веб-программирование,,4 заявки
Отрисовка логотипа,Знаки/Логотипы,$10,исполнитель выбран
Требуется копирайтер,Копирайтинг/Рерайтинг,,6 заявок
Доработка приложения на Swift/iOS,ПО для мобильных устройств,,2 заявки
FrontEnd разработчик в команду,Веб-программирование,,3 заявки
Курсовая работа - программирование под SDK Andoid на Java,Дипломы/Курсовые/Рефераты,,1 заявка
"Создание сайта, тема фастфуд (доставка на дом еды)",Сайты «под ключ»,,23 заявки
Адаптация сайта для мобильных устройств (webasyst),HTML-верстка,,7 заявок
Дизайн сайта Языковые переводы,Дизайн сайтов,,41 заявка
Сделать копию сайта с корректировками,Веб-программирование,,14 заявок
Оптимизация скорости загрузки сайта,Веб-программирование,,6 заявок
Нарисовать дизайн для тюбинга,Иллюстрации/Рисунки,,1 заявка
Сделать верстку 3 страницы,"HTML-верстка, Системы управления (CMS)",,21 заявка
Текст по брендированию сувенирной продукции,Копирайтинг/Рерайтинг,,9 заявок
Добавить параметр data-desc в скрипт social-likes,Веб-программирование,,3 заявки
"Создание сайта под ключ, без наполнения",Сайты «под ключ»,,10 заявок
"Создать одностраничный сайт ""Создание контекстной рекламы""",Сайты «под ключ»,,19 заявок
Требуется 2 баннера 250 на 300,Баннеры,,13 заявок
Сверстать адаптивно макет,HTML-верстка,$70,исполнитель выбран
Создание одностраничного сайта,"Дизайн сайтов, Веб-программирование",,42 заявки
Создание одностраничного сайта,"Дизайн сайтов, Веб-программирование",,42 заявки
Необходимо сделать фирменную бланк письма,Фирменный стиль,,11 заявок
"200 статей ""личных заметок"" по теме знакомств, отношений",Копирайтинг/Рерайтинг,$770,3 заявки
Перенос сайта с Joomla 1.5 на WordPress 4.4 или 4.5.,Системы управления (CMS),,3 заявки
Консультация по «1С-Битрикс»,Системы управления (CMS),,1 заявка
Нарисовать тематические картинки,Иллюстрации/Рисунки,,1 заявка
Необходимо записать голосовое приветствие для ATC,Озвучивание,,16 заявок
Переписать скрипт на Друпал 7,Веб-программирование,$20,2 заявки
Сверстать макеты,HTML-верстка,,исполнитель выбран
Логотип сайта,Знаки/Логотипы,,20 заявок
Спасрить данные с сайта (парсер),Веб-программирование,,5 заявок
Разработка каталога продукции,Дизайн продукции,,6 заявок
Качественная настройка контекстной рекламы Google,Контекстная реклама,,7 заявок
Материал по теме учет и списание расходных материалов РФ,Новости/Статьи/Обзоры,,1 заявка
Ищем на проект специалиста по 1С Бухгалтерия и склад 7.7,1С-программирование,,2 заявки
Синхронизация магазина с Новой почтой по Api,Веб-программирование,,2 заявки
Дизайнер фотошаблонов,Фотография (обработка),,2 заявки
Грамотно наверстать упущенное на 6 экранов,HTML-верстка,$46,1 заявка
Перестал корректно работать файл по крону,Веб-программирование,,5 заявок
Проектирование светофорных объектов,Чертежи/Схемы,,1 заявка
"Разработать логотип showroom - студии   ""Juliet""",Знаки/Логотипы,,26 заявок
Сделать парсер картинок,Веб-программирование,,4 заявки
Сделать парсинг прайса,Веб-программирование,,исполнитель выбран
Раскрутка сайта бытовой техники,Поисковые системы (SEO),,11 заявок
Дизайн сайта оптовой парфюмерной фирмы,Дизайн сайтов,,32 заявки
Создание водяного знака с названием сайта.,Знаки/Логотипы,,10 заявок
Правки и доработки сайта OcStore,Веб-программирование,$20,2 заявки
"Сайт WP. Проверить работу, настроить кэшироване, бэкап.",Веб-программирование,,3 заявки
Тексты о камнях и украшениях,Копирайтинг/Рерайтинг,,14 заявок
Адаптивная верстка сайта. Нужен профессионал.,HTML-верстка,,9 заявок
Сверстать брошюру,Верстка полиграфии,,11 заявок
Верстка сайта,HTML-верстка,,исполнитель выбран
Срочно нужен спец по ModX,Веб-программирование,,1 заявка
Дизайн Landing page по примеру.,Дизайн сайтов,$20,9 заявок
Современный дизайн сайта образовательного учереждения,Дизайн сайтов,,38 заявок
Установить готовый шаблон для Битрикс,Веб-программирование,,2 заявки
Настроить канал на Ютубе,Наполнение сайтов,,нет заявок
Порезать видео,Видеомонтаж,,23 заявки
Джумла обновление,Системы управления (CMS),,1 заявка
Нужен контент-менеджер/вебмастер для наполнения сайта,Наполнение сайтов,,10 заявок
Доработка/разработка функционала на 1с Битрикс,Веб-программирование,,1 заявка
Обработка фото,Фотография (обработка),,25 заявок
Добавить 100 шт товара на prom.ua,Наполнение сайтов,,исполнитель выбран
Нужна программа на Delphi (за 3 дня),Прикладное ПО,,3 заявки
Улучшить позиции сайта в поисковиках по одному региону.,Поисковые системы (SEO),,15 заявок
Нарисовать логотип в векторе,Знаки/Логотипы,,15 заявок
Установить и настроить WP на хостинг клиента,Системы управления (CMS),,9 заявок
Необходим редизайн формата .psd установить на joomla,HTML-верстка,$20,исполнитель выбран
Интегрировать платёжный шлюз в магазин на opencart,Интернет-магазины,,1 заявка
Интегрировать таблицы в систему e-autopay,Веб-программирование,,2 заявки
Создание сайта на PrestaShop,Системы управления (CMS),,31 заявка
Озвучка,Озвучивание,,7 заявок
"Seo копирайтер, 5 статей",Копирайтинг/Рерайтинг,,16 заявок
Написать под ключ Landing Page,Сайты «под ключ»,$80,12 заявок
Программка на WinAPI или POSIX - лабораторная 1 курс,Веб-программирование,,1 заявка
Разработка городского портала под ключ,Сайты «под ключ»,,11 заявок
Привести примеры удачных технологий позиционирования и визуализации,Дипломы/Курсовые/Рефераты,,2 заявки
Написать парсер для Джумлы,Веб-программирование,,5 заявок
Логотип для коктейль & кальян бара,Знаки/Логотипы,$50,25 заявок
Переделать исследования для диплома через критерий Стьюдента,Дипломы/Курсовые/Рефераты,,1 заявка
JS разработчик в образовательный opensource проект,Веб-программирование,,1 заявка
Видео монтаж,Видеомонтаж,,26 заявок
Написание отзывов,Копирайтинг/Рерайтинг,,исполнитель выбран
Требуется корректировка курсовой по математике,Дипломы/Курсовые/Рефераты,,нет заявок
Срочно внести правки в диплом!!! Звукооператорское мастерство,Дипломы/Курсовые/Рефераты,,2 заявки
Срочно реферат по Клинической диагностике!,Дипломы/Курсовые/Рефераты,,1 заявка
Статейный проект по околокомпьютерной теме,Копирайтинг/Рерайтинг,,34 заявки
Написать 100 статей авто и околокомпьютерная тематика,Копирайтинг/Рерайтинг,,51 заявка
Статейный проект по автомобильной теме,Копирайтинг/Рерайтинг,,17 заявок
Составить 1000 ТЗ для сайта,Копирайтинг/Рерайтинг,,7 заявок
Подбор тематических текстильных доменов,Нейминг/Слоганы,$40,12 заявок
Нужны PHP-парсеры (CURL),Веб-программирование,,1 заявка
